Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Completed,Storage,North America,USA,0,1,0,0,37.792519,-86.69423,Storage,450.0
Active,Capture,North America,USA,0,1,0,0,39.509213,-112.580616,Capture,950.0
Potential,Capture and Storage,North America,USA,0,0,0,0,42.09919739,-79.23827362,CCS,40.0
Active,Capture and Storage,North America,USA,0,0,0,0,37.539456,-105.104697,CCS,450.0
Hold,Capture and Storage,North America,USA,0,0,0,0,40.717629,-84.111123,CCS,540.0
Completed,Capture and Storage,North America,USA,1,1,0,1,39.876963,-88.89341,CCS,450.0
Completed,Storage,North America,USA,1,1,0,1,37.26265,-87.578917,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,38.187413,-87.879005,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,39.912682,-80.76458,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,38.908484,-84.853985,Storage,450.0
Completed,Capture and Storage,North America,USA,1,1,0,1,45.019154,-84.529174,CCS,450.0
Completed,Capture and Storage,North America,USA,1,1,0,1,45.044878,-84.487203,CCS,450.0
Hold,Capture and Storage,North America,CA,1,1,0,1,58.653455,-122.689083,CCS,450.0
Completed,Capture and Storage,North America,CA,1,1,0,1,59.064553,-118.880284,CCS,450.0
Terminated,Capture and Storage,North America,USA,0,0,0,0,43.017819,-78.88077,CCS,680.0
Terminated,Capture,North America,USA,0,1,0,0,41.73715,-71.146057,Capture,380.0
Active,Capture and Storage,North America,USA,1,1,0,0,29.477664,-95.635021,CCS,240.0
Completed,Storage,North America,USA,1,1,0,1,48.549909,-102.239482,Storage,450.0
Completed,Capture and Storage,North America,USA,1,1,0,1,45.097,-105.109,CCS,50000000.0
Completed,Storage,North America,USA,1,0,0,1,48.575622,-102.942431,Storage,450.0
Potential,Capture,North America,USA,0,1,0,0,38.27881,-89.667328,Capture,1600.0
Terminated,Capture and Storage,North America,USA,0,0,0,0,37.293611,-87.118872,CCS,450.0
Active,Capture and Storage,North America,USA,0,0,0,0,30.808782,-102.617342,Storage,450.0
Active,Storage,North America,USA,0,1,0,0,40.14480209,-108.9541397,Storage,14000.0
Active,Storage,North America,USA,0,0,0,0,41.514815,-108.615272,Storage,450.0
Completed,Capture and Storage,North America,USA,1,1,0,1,31.005154,-88.008941,CCS,25.0
Completed,Storage,North America,USA,1,1,0,1,33.347691,-87.49419,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,37.08158333,-81.9609,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,31.589822,-91.154311,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,31.578581,-91.172386,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,30.53,-88.556111,Storage,450.0
Terminated,Capture,North America,USA,0,1,0,0,29.7329,-81.6332,Capture,750.0
Terminated,Capture,North America,USA,0,0,0,0,29.07198,-95.749718,Capture,683.0
Completed,Storage,North America,USA,1,1,0,1,37.30745,-109.3378278,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,32.809575,-100.9307056,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,36.85479722,-107.6983472,Storage,450.0
Terminated,Capture,North America,USA,0,0,0,0,39.589044,-89.188766,Capture,630.0
Terminated,Capture and Storage,North America,USA,0,0,0,0,32.525131,-100.262633,CCS,600.0
Hold,Capture and Storage,North America,USA,0,0,0,0,37.843695,-87.590435,CCS,720.0
Active,Storage,North America,USA,0,0,0,0,31.927655,-102.212316,Storage,450.0
Completed,Storage,North America,USA,1,1,0,1,34.928611,-110.258611,Storage,450.0
Hold,Capture and Storage,North America,USA,0,0,0,0,37.8567,-103.1112,CCS,600.0
Active,Storage,North America,USA,0,0,0,0,30.920613,-101.935292,Storage,450.0
Hold,Capture and Storage,Asia,CN,0,1,0,0,45.96659088,126.6637726,CCS,2740.0
Terminated,Capture and Storage,North America,USA,0,0,0,0,40.608355,-74.219695,CCS,500.0
Terminated,Capture and Storage,North America,USA,0,1,0,0,46.102622,-118.918573,CCS,700.0
Potential,Capture and Storage,North America,USA,0,0,0,0,32.461351,-97.890919,CCS,70.0
Active,Capture and Storage,North America,USA,0,1,0,0,43.38488,-84.630136,CCS,250.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,35.332443,-119.383456,CCS,400.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,32.649461,-88.757013,CCS,582.0
Terminated,Capture and Storage,Europe,DE,1,1,0,0,51.8334245,14.4720226,CCS,3000.0
Completed,Storage,North America,USA,1,0,0,0,30.030999,-94.86129,Storage,450.0
Completed,Capture,Europe,DE,0,1,0,0,52.382747,8.996095,Capture,7.0
Completed,Capture,Europe,DE,0,1,0,0,53.565104,8.145691,Capture,756.0
Hold,Capture,Europe,Bul,0,1,0,0,42.255494,26.131763,Capture,1450.0
Potential,Capture and Storage,Europe,Czech,0,1,0,0,50.575824,13.77955,CCS,660.0
Potential,Capture and Storage,Europe,Czech,0,0,0,0,50.086012,14.43126,CCS,660.0
Hold,Capture and Storage,Europe,DK,0,1,0,0,57.073957,10.040272,CCS,411.0
Terminated,Capture and Storage,Europe,DE,0,1,0,0,54.081028,13.488122,CCS,1600.0
Terminated,Capture and Storage,Europe,IT,0,0,0,0,37.93491,15.725314,CCS,1320.0
Active,Capture and Storage,Europe,IT,0,1,0,0,40.566917,18.031435,CCS,660.0
Completed,Capture and Storage,North America,USA,1,1,0,0,29.865913,-93.967359,CCS,450.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,30.189176,-93.306548,CCS,450.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,31.74604,-102.608324,CCS,400.0
Completed,Capture,Australia,AU,0,1,0,0,-38.272924,146.391758,Capture,1675.0
Completed,Capture,Australia,AU,0,1,0,0,-37.913772,145.15598,Capture,1.1
Hold,Capture,Europe,NL,0,1,0,0,53.442813,6.850781,Capture,1600.0
Terminated,Capture,Europe,NL,0,1,0,0,51.22278,5.9733,Capture,253.0
Active,Capture,North America,USA,0,1,0,0,42.09222,-71.48306,Capture,320.0
Active,Capture,North America,USA,0,1,0,0,39.596175,-78.745581,Capture,180.0
Terminated,Capture,North America,USA,0,1,0,0,35.191944,-94.6425,Capture,320.0
Completed,Capture,Asia,JP,0,1,0,0,35.215,139.72028,Capture,1.0
Completed,Capture,Europe,Swd,0,0,0,0,59.34833,18.07028,Capture,3288.0
Completed,Capture,North America,USA,0,1,0,0,42.53944,-87.90444,Capture,1.7
Active,Capture,Asia,JP,0,1,0,0,33.020082,130.421904,Capture,47.5
Active,Capture,Europe,DE,0,1,0,0,50.08917,8.95,Capture,510.0
Completed,Capture and Storage,North America,USA,0,0,0,0,33.45438,-101.862836,CCS,50.0
Completed,Capture and Storage,North America,USA,0,0,0,0,33.205873,-97.729303,CCS,450.0
Terminated,Capture and Storage,Australia,AU,0,0,0,0,-29.81,115.24,CCS,400.0
Hold,Capture and Storage,Asia,MY,0,1,0,0,3.25,113.12,CCS,450.0
Hold,Storage,North America,CA,0,0,0,0,53.945484,-113.067108,Storage,450.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,31.36325836,-96.14356995,CCS,275.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,39.496862,-88.440473,CCS,275.0
Terminated,Capture and Storage,North America,USA,1,0,0,0,31.85984802,-102.3777237,CCS,275.0
